,Element Type,Relative Position,Latitude,Longitude,Relative Displacement,GPS Displacement
0,0,39.909,46.70993496,9.4377129,0.0,0.0
1,1,40.6,46.70395568,9.43967448,0.6910000000000025,0.006292820147976968
2,1,41.001999999999995,46.70033565,9.44002959,0.4019999999999939,0.0036374057119054827
3,2,41.026,46.70007148,9.440096800000001,0.024000000000008015,0.0002725857167952526
4,1,41.06100000000001,46.69974231,9.44014329,0.035000000000003695,0.00033243677444029377
5,1,41.065,46.69974231,9.44014329,0.003999999999990678,0.0
6,1,41.081,46.6995888,9.44017072,0.016000000000005343,0.00015594141527841803
7,2,41.117,46.69929646,9.44024646,0.03599999999999426,0.00030199209128851375
8,1,41.128,46.69915247,9.44028485,0.011000000000002785,0.00014901983827477733
9,1,41.263000000000005,46.698287,9.440885,0.13500000000000512,0.001053194352150557
10,1,41.27,46.698163,9.440928999999999,0.006999999999997897,0.0001315750736264625
11,1,41.35,46.697441,9.441182000000001,0.0799999999999983,0.0007650444431573341
12,1,41.36600000000001,46.69712021,9.44115357,0.016000000000005343,0.00032204733968427415
13,1,41.369,46.69712021,9.44115357,0.0029999999999930083,0.0
14,1,41.408,46.69681376,9.441308900000001,0.03900000000000148,0.0003435680593452441
15,1,41.646,46.695119,9.442516,0.23799999999999955,0.0020806974473946147
16,0,42.181000000000004,46.695822,9.448731,0.5350000000000037,0.006254633002823915
17,0,42.266000000000005,46.696232,9.449582000000001,0.08500000000000085,0.0009446168535460499
18,0,42.761,46.698504,9.454897,0.49499999999999744,0.0057802429879707466
19,2,43.268,46.701221000000004,9.460535,0.5069999999999979,0.006258524826188277
20,1,43.769,46.702146,9.466974,0.5009999999999977,0.006505101536486192
21,0,44.283,46.700173,9.47113,0.5140000000000029,0.00460055051053661
22,2,44.812,46.696569000000004,9.474213,0.5289999999999964,0.004742752892568851
23,2,46.739,46.691736,9.496387,1.9269999999999996,0.022694584486172786
24,0,47.129,46.689477000000004,9.499883,0.39000000000000057,0.004162342729759185
25,2,47.773999999999994,46.686440999999995,9.506724,0.644999999999996,0.0074844222889978666
26,0,49.256,46.6814578,9.523992699999999,1.4820000000000064,0.017973321393942282
27,0,49.46,46.6801543,9.5272617,0.20400000000000063,0.003519300107976775
28,2,49.538000000000004,46.6801543,9.5272617,0.07800000000000296,0.0
29,1,50.06,46.6795205,9.5330962,0.5219999999999985,0.005868823791014786
30,2,50.38,46.678893,9.535636,0.3200000000000003,0.002616169010214222
31,2,50.5,46.6784776,9.5386721,0.11999999999999744,0.0030643858063234067
32,0,50.827,46.677326,9.542402000000001,0.3269999999999982,0.0039036312031250227
33,2,51.849,46.664778000000005,9.550761999999999,1.0219999999999985,0.015077861386809747
34,2,52.898,46.66619910000001,9.5626449,1.0490000000000066,0.011967574425088928
35,2,53.011,46.666665,9.563753,0.11299999999999955,0.0012020600733717258
36,1,53.415,46.6675787,9.5683386,0.40399999999999636,0.004675743261771369
37,0,53.753,46.6653069,9.5709014,0.33800000000000097,0.0034247655511013522
38,2,53.812,46.6649148,9.5711774,0.0589999999999975,0.0004794980813298754
39,0,54.096000000000004,46.6634654,9.5741563,0.284000000000006,0.0033127942239140526
40,1,54.378,46.6632537,9.577634699999999,0.2819999999999965,0.0034848362156623637
41,2,54.803999999999995,46.66302879999999,9.5822763,0.4259999999999948,0.0046470453591517
42,2,55.5,46.6609099,9.590612400000001,0.6960000000000051,0.008601180175998206
43,2,55.938,46.661086499999996,9.596333900000001,0.4380000000000024,0.005724224821755159
44,0,56.09,46.661012,9.597988,0.15200000000000102,0.0016557768750645031
45,2,56.541000000000004,46.662893,9.603272,0.4510000000000005,0.005608816006964934
46,2,57.327,46.666113,9.6104058,0.7859999999999943,0.007826844986330043
47,1,57.75,46.6671159,9.6156308,0.4230000000000018,0.005320379066381027
48,0,59.957,46.669312,9.641807,2.2070000000000007,0.026268161367899365
49,1,60.422,46.670418299999994,9.6482317,0.4649999999999963,0.00651925377478085
50,2,60.736999999999995,46.6711862,9.6508123,0.3149999999999977,0.0026924276721965908
51,0,60.9,46.6712489,9.652923,0.1630000000000038,0.0021116310709963955
52,2,61.018,46.67167070000001,9.654258500000001,0.1180000000000021,0.001400526861580422
53,1,61.325,46.674123,9.657667800000002,0.30700000000000216,0.004199654959634406
54,2,61.688,46.676386,9.660213,0.36299999999999955,0.0034057615947080326
55,0,62.01,46.681317,9.664517,0.3219999999999956,0.006545164398239851
56,0,62.04,46.679318,9.664479,0.030000000000001137,0.0019993611479648837
57,2,62.51,46.679117,9.669595,0.46999999999999886,0.005119946972381042
58,2,62.94,46.6808172,9.674413699999999,0.4299999999999997,0.005109848307924789
59,1,63.357,46.6787719,9.6757913,0.4170000000000016,0.002465975233046652
60,0,63.593,46.6766745,9.6761985,0.2360000000000042,0.00213656233234973
61,1,63.861999999999995,46.6744682,9.6767325,0.26899999999999125,0.002270003455942027
62,2,63.96,46.674083700000004,9.677808500000001,0.09800000000000608,0.0011426356593416587
63,2,63.97,46.674081,9.6779687,0.00999999999999801,0.00016022275119156505
64,0,64.133,46.6748434,9.6796579,0.1629999999999967,0.0018532809824749225
65,2,64.19800000000001,46.675221,9.680406,0.06500000000001194,0.0008379948508188257
66,1,64.46,46.6755115,9.6841817,0.26199999999998624,0.003786858954331561
67,1,64.486,46.675462100000004,9.683717,0.02600000000001046,0.0004673183604350072
68,1,64.99,46.6751193,9.6903297,0.5039999999999907,0.006621579353145387
69,2,65.365,46.672403,9.692861500000001,0.375,0.00371325960982881
